train_08     8173  0.00147   20   0.84056   0.00113   0.83845   0.84208   0.00363 |   0.84111  +0.00055   55.6%   +0.48   6/10
train_09     1109  0.01623   50   0.63315   0.00451   0.62557   0.63874   0.01317 |   0.63347  +0.00033   44.4%   +0.07   5/10
train_10    11800  0.00229   20   0.84932   0.00225   0.84665   0.85401   0.00736 |   0.84774  -0.00158   22.2%   -0.70   3/10
train_11    28879  0.00069   20   0.81526   0.00120   0.81351   0.81665   0.00315 |   0.81665  +0.00139  100.0%   +1.16  10/10
train_12    49432  0.00016   20   0.77125   0.00083   0.76951   0.77285   0.00334 |   0.76951  -0.00175    0.0%   -2.09   1/10
train_13      500  0.01800   50   0.64654   0.00539   0.63567   0.65321   0.01753 |   0.64400  -0.00254   22.2%   -0.47   3/10
train_14    11108  0.00207   20   0.80380   0.00222   0.79947   0.80654   0.00707 |   0.80443  +0.00063   44.4%   +0.28   5/10
train_15      500  0.06000   70   0.84987   0.00455   0.84363   0.85740   0.01378 |   0.84363  -0.00624    0.0%   -1.37   1/10
train_16     1809  0.01161   20   0.88032   0.00797   0.86695   0.89325   0.02631 |   0.89325  +0.01294  100.0%   +1.62  10/10
  (range = max-min over the 10 seeds. std is the sample std (ddof=1), i.e. our estimate of the per-dataset seed-noise sigma. seed0 = the AUC the SHIPPED 08 actually gets. pctile: 0%=seed0 is the worst of the 10, 100%=the best, 50%=median. z = (seed0-mean)/std.)

=== FLIPPER RANKING (Public) — datasets by seed-jitter range, LARGEST FIRST ===
 # dataset         n    ratio n_obj  msl     range       std
 1 train_05     1060  0.00849     5   20   0.02570   0.00672
